Chương,Trang PDF,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích đáp án
Chương 2,13,"Kết hợp nhuần nhuyễn dân tộc với giai cấp, độc lập dân tộc và chủ nghĩa xã hội, phản ánh:",Quy luật khách quan của cách mạng giải phóng dân tộc trong thời đại cách mạng vô sản,"Mối quan hệ giữa mục tiêu giải phóng dân tộc, giải phóng giai cấp và con người",Mối quan hệ giữa mục tiêu độc lập dân tộc và chủ nghĩa xã hội,"Cả a, b và c đều đúng",D,
Chương 2,13,Cách mạng giải phóng dân tộc trong thời đại mới phải do ĐảngCộng sản lãnh đạo để:,"Giác ngộ, tổ chức, tập hợp dân chúng; đoàn kết với vô sản và các dân tọc bị áp bức trên thế giới",Đoàn kết với vô sản và các dân tộc bị áp bức trên thế giới.,Đảng thay giai cấp công nhân giành chính quyền về tay nhân dân,"Lập ra chính quyền của dân, do dân, vì dân",A,
Chương 2,13,"Theo Hồ Chí Minh, cách mạng giải phóng dân tộc có khả năng giành thắng lợi trước cách mạng vô sản ở chính quốc, vì:",Kẻ thù ở thuộc địa yếu hơn kẻ thù của giai cấp vô sản ở chính quốc,Lực lượng cách mạng ở thuộc địa đông và mạnh hơn lực lượng cách mạng ở chính quốc,Nộc độc và sức sống của con rắn độc tư bản chủ nghĩa tập trung ở các nước thuộc địa hơn ở các nước chính quốc,Các nước thuộc địa có sự giúp đỡ của quốc tế cộng sản,C,
Chương 2,13,"Kiên trì con đường Hồ Chí Minh đã lựa chọn, nghĩa là:",Hội nhập với nền kinh tế thế giới,Giữ vững nền độc lập dân tộc,Thực hiện mực tiên độc lập gắn liền với chủ nghĩa xã hội,Thực hiện triệt để cuộc cách mạng dân tộc dân chủ nhân dân,C,
Chương 2,13,"Theo Hồ Chí Minh, thực chất của giải phóng giai cấp là:",Xóa bỏ giai cấp bóc lột với tư cách là giai cấp thống trị xã hội,Tiêu diệt cá nhân những con người thuộc giai cấp bọc lột.,Thay giai cấp thống trị này bằng giai cấp thống trị khác,Tất cả các phương án đều đúng,A,
Chương 2,13,"Trong tư tưởng Hồ Chí Minh, giải phóng con người trước hết là:",Giải phóng quần chúng lao động,Giải phóng giai cấp công nhân,Giải phóng giai cấp nông dân,Giải phóng dân tộc,A,
Chương 2,13,Giải phóng con người theo tư tưởng Hồ Chí Minh là:,Giải phóng con người với tư cách từng cá nhân,Giải phóng con người với tư cách là cả loài người,Giải phóng con người với tư cách từng cá nhân và cả loài người,Giải phóng con người với tư cách là cả dân tộc,C,
Chương 2,13,Giải phóng dân tộc theo tư tưởng Hồ Chí Minh là:,"Đánh đổ ách áp bức, thống trị của đế quốc thực dân giành độc lập dân tộc","Đánh đổ ách áp bức, thống trị của đế quốc thực dân giành độc lập dân tộc, hình thành nhà nước dân tộc độc lập và tự do lựa chọn con đường phát triển của dân tộc phù hợp với xu thế của thời đại","Đánh đỗ ách áp bức thống trị của đế quốc, thực dân giành độc lập dân tộc",Đánh đổ địa chủ phong kiến đem lại ruộng đất cho nhân dân,B,
Chương 2,13,"Theo Hồ Chí Minh: “Giải phóng dân tộc, giải phóng giai cấp, giải phóng con người thống nhất nhau là tư tưởng cách mạng [........]”",Triệt để nhất,"Ở các nước châu Á, phương Đông",Phù hợp nhất.,Thông minh nhất,B,
Chương 2,14,"Theo Hồ Chí Minh, chủ nghĩa cộng sản dễ thích ứng ở đâu hơn?",Ở các nước tư bản phát triển nhất,,Ở các nước Châu Âu,,,
Chương 2,14,"Theo Hồ Chí Minh, cách mạng bạo lực là đấu tranh:",Kết hợp vũ trang và chính trị,,Chính trị,,A,
Chương 2,14,Hồ Chí Minh coi yếu tố nào là một động lực lớn của đất nước?,Chủ nghĩa yêu nước Việt Nam,,Chủ nghĩa cá nhân,,,
Chương 2,14,"Trong tư tưởng Hồ Chí Minh, tư tưởng bạo lực cách mạng luôn thống",Tư tưởng nhân đạo hòa bình,Cách mạng không ngừng,Tư tưởng đấu tranh ngoại giao,Đấu tranh chính trị,A,
Chương 2,14,Chọn cụm từ đúng điền vào chỗ trống […......] Đại hội IX của Đảng đã xác định tư tưởng Hồ Chí Minh “là [……] của Đảng và dân tộc ta”,Cẩm nâng,,Tài sản quí báu,,,
Chương 2,14,"Theo Hồ Chí Minh, cách mạng giải phóng dân tộc là sự nghiệp đoàn","Toàn dân, trên cơ sở liên minh công – nông","Công nhân, nông dân và tầng lớp trí thức",Giai cấp công nhân và nông dân,Giai cấp công nhân,A,
Chương 2,14,Chọn cụm từ đúng điền vào chỗ trống […......] theo tư tưởng Hồ Chí Minh. “Toàn quốc đồng bào hãy đúng dậy […......] mà tự giải phóng cho ta”,Dựa vào sự giúp đỡ quốc tế.,Dựa vào sự đoàn kết toàn dân.,Dưới sự lãnh đạo của Đảng. .,Đem sức ta.,D,
Chương 2,14,"Chọn cụm từ đúng điền vào chỗ trống […......] theo tư tưởng Hồ Chí Minh: “Toàn thể dân tộc Việt Nam quyết đem [….....] để giữ vững quyền tự do, độc lập ấy”",Tất cả tinh thần và lực lượng,"Tất cả tinh thần và lực lượng, tính mạng và của cải.",Toàn bộ sức lực.,Toàn bộ của cải.,B,
Chương 2,14,"Chọn cụm từ đúng điền vào chỗ trống […......] theo tư tưởng Hồ Chí Minh: “Tôi chỉ có một ham muốn, ham muốn tột bậc, là làm sao cho nước ta được [……], dân ta được hoàn toàn tự do, đồng bào ta ai cũng có cơm ăn áo mặc, ai cũng được học hành”.",Nhanh chóng độc lập,Thắng lợi,Hoàn toàn độc lập,Giải phóng,C,
Chương 2,14,"Theo Hồ Chí Minh, khát vọng lớn nhất của dân tộc thuộc địa là gì?",Cơm áo và ruộng đất,,Quyền bình đẳng,,,
Chương 2,14,Ham muốn tột bậc của Hồ Chí Minh là gì?,Nước được độc lập.,"Đồng bào ai cũng có cơm ăn, áo mặc, được học hành",Dân được tự do.,"Cả a, b, c đều đúng",D,
Chương 2,15,Tư tưởng cốt lõi trong tư tưởng Hồ Chí Minh về cách mạng Việt Nam là gì?,"Tư tưởng về giải phóng dân tộc, giải phóng giai cấp, giải phóng con người.",Tư tưởng về đạo đức cách mạng,Tư tưởng về kết hợp sức mạnh dân tộc với sức mạnh thời đại,Tư tưởng về độc lập dân tộc gắn liền với CNXH,D,
Chương 2,15,Vấn đề dân tộc trong tư tưởng Hồ Chí Minh là sự kết hợp nhuần nhuyễn giữa:,Dân tộc và giai cấp,Chủ nghĩa yêu nước và chủ nghĩa quốc tế,Độc lập dân tộc và chủ nghĩa xã hội,Cách mạng thuộc địa với cách mạng vô sản Vấn đề dân tộc trong tư tưởng Hồ Chí Minh là sự kết hợp nhuần nhuyễn: a - Dân tộc với giai cấp c - Chủ nghĩa yêu nước với chủ nghĩa đế quốc,D,
Chương 2,15,"Hồ Chí Minh nói câu “Không có gì quí hơn độc lập tự do” vào thời b - Độc lập dân tộc và chủ nghĩa xã hội d - Cả a, b, c đều đúng gian nào? a.1945",,1954,1960,1966 NGUYỄN ÁI QUỐC,D,
Chương 2,15,Nguyễn Tất Thành lên con tàu Amiran Latusơ Tơrơvin để ra đi tìm đường cứu nước tại đâu? Vào thời gian nào?,6/5/1911 tại Bến cảng Nhà Rồng,2/6/1911 tại Sài Gòn,5/6/1911 tại Bến cảng Nhà Rồng,4/6/1911 tại Bến Nhà Rồng,C,
Chương 2,15,Nguyễn Tất Thành lúc ra đi tìm đường cứu nước bao nhiêu tuổi?,19 tuổi,20 tuổi,21 tuổi,24 tuổi,C,
Chương 2,15,Người thầy giáo đầu tiên của Nguyễn Tất Thành là ai?,Vương Thúc Quí,Nguyễn Sinh Sắc,Trần Tấn,Phan Bội Châu,B,
Chương 2,15,Nguyễn Tất Thành vào học trường Pháp -Việt Đông Ba năm nào?,9/1905,9/1906,9/1907,9/1908,B,
Chương 2,15,"Nguyễn Tất Thành nói: “Tôi muốn đi ra ngoài xem nước Pháp và các nước khác làm như thế nào, tôi sẽ trở về giúp đồng bào chúng ta”. Câu nói đó vào thời gian nào?",6/1909,6/1911,7/1910,6/1912,B,
Chương 2,16,Hồ Chí Minh sánh lập “Hội Việt Nam cách mạng thanh niên” vào thời gian nào?,Tháng 5/1925,Tháng 5 /1927,Tháng 6/ 1925,Tháng 5/1926,C,
Chương 2,16,Nguyễn Tất Thành học tại trường Quốc học Huế năm học nào?,Năm học 1905-1906,Năm học 1907-1908,Năm học 1906-1907,Năm học 1911-1912,B,
Chương 2,16,Nguyễn Tất Thành đã tham dự cuộc biểu tình chống thuế của nông dân tỉnh Thừa Thiên vào thời gian nào?,5/1905,5/1908 c .5/1906,,5/1911,B,
Chương 2,16,Nguyễn Tất Thành dạy học ở trường Dục Thanh thời gian nào?,9/1908 đến 9/1909,9/1910 đến 4/1911,9/1910 đến 2/1911,9/1910 đến 5/1911,C,
Chương 2,16,Nguyễn Tất Thành ở Mỹ thời gian nào?,1911- 1912,1912-1913,1912-1914,1913-1914,B,
Chương 2,16,Nguyễn Tất Thành ở nước Anh thời gian nào?,1913- 1914,1914-1915,1914-1916,1914-1917,D,
Chương 2,16,Những tri thức mà Nguyễn Tất Thành có được về nền văn hoá Pháp là do anh đã từng đọc các tác phẩm của ai?,Vôn te,Rút xô,Mông tex kiơ,"Tất cả a, b,c đều đúng",D,
Chương 2,16,Nguyễn Ái Quốc vào Đảng Xã hội Pháp năm nào?,1917,1918,1919,1920,B,
Chương 2,16,"Báo Le Paria (Người Cùng khổ) do Nguyễn Ái Quốc đồng sáng lập, ra số đầu tiên khi nào?",30/12/1920,1/4/1921,1/4/1922,1/4/1923,C,
Chương 2,17,"""Luận cương của V. I. Lênin làm cho tôi rất cảm động, phấn khởi, sáng tỏ, tin tưởng biết bao. Tôi vui mừng đến phát khóc lên. Ngồi một mình trong buồng mà tôi nói to lên như đang nói trước quần chúng đông đảo: hỡi đồng bào bị đọa đày đau khổ? Đây là cái cần thiết cho chúng ta, đây là con đừờng giải phóng của chúng ta"". Nguyễn Ái Quốc nói câu ấy khi đang ở đâu?","Luân Đôn, Anh","Paris, Pháp","Quảng Châu, Trung Quốc","Máxcơva, Liên Xô",C,
Chương 2,17,"""Luận cương của V. I. Lênin làm cho tôi rất cảm động, phấn khởi, sáng tỏ, tin tưởng biết bao. Tôi vui mừng đến phát khóc lên. Ngồi một mình trong buồng mà tôi nói to lên như đang nói trước quần chúng đông đảo: hỡi đồng bào bị đọa đày đau khổ? Đây là cái cần thiết cho chúng ta, đây là con đừờng giải phóng của chúng ta"". Câu nói này của Nguyễn Ái Quốc được trích từ tác phẩm nào?",Đời hoạt động của Hồ Chủ tịch,Con đường dẫn tôi đến với chủ nghĩa Lênin,Lênin vĩ đại,Cách mạng Tháng Mười và con đường giải phóng dân tộc,B,
Chương 2,17,"Trong thời gian ở nước ngoài, Nguyễn Tất Thành đã làm những công việc gì?","Phụ bếp, cào tuyết","Thợ ảnh, làm bánh","Đốt lò, bán báo",Tất cả các công việc trên.,D,
Chương 2,17,Hồ Chi Minh viết tác phẩm “Đường Kách mệnh” vào năm nào?,Năm 1926,Năm 1927,Năm 1928,Năm 1929,B,
Chương 2,17,Tác phẩm “Bản án chế độ thực dân Pháp” của Nguyễn Ái Quốc được xuất bản lần đầu tiên vào năm nào?,Năm 1923,Năm 1925,Năm 1926,Năm 1924,B,
Chương 2,17,Nguyễn Ái Quốc lựa chọn con đường giải phóng dân tộc theo khuynh hường chính trị vô sản vào thời gian nào?,1917,1918,1919,1920,D,
Chương 2,17,Nguyễn Tất Thành lấy tên là Nguyễn Ái Quốc vào thời gian nào?,Khi Bác lên tàu từ bến Nhà Rồng năm 1911;,Khi Bác tham gia sáng lập Đảng Cộng sản Pháp tại Đại hội Tua tháng 12/1920;,Tại Hội nghị Vécxay (Pháp) ngày 18/6/1919;,Khi Bác sang Liên Xô làm việc ở Ban Phương Đông của Quốc tế Cộng sản tháng 6/1923.,C,
Chương 2,18,Nguyễn Ái Quốc từ Liên Xô về Quảng Châu (Trung Quốc) vào thời gian nào?,12/1924,11/1924,12/1925,10/ 1924,A,
Chương 2,18,"Vở kịch Con Rồng tre được Nguyễn Ái Quốc viết nhân dịp vua Khải Định sang Pháp, đó là năm nào?",Tháng 5/1922,Tháng 5/1925,Tháng 5/1923,Tháng 5/1927,D,
Chương 2,18,"“Đuổi hổ cửa trước, rước beo cửa sau” là câu Nguyễn Ái Quốc nói về chủ trương cứu nước của ai?",Nguyễn Thái Học,Hoàng Hoa Thám,Phan Bội Châu,Phan Chu Trinh,C,
Chương 2,18,“Ỷ Pháp cầu tiến bộ chẳng khác nào xin giặc rủ lòng thương” là câu Nguyễn Ái Quốc nhận xét về chủ trương cứu nước của ai?,Nguyễn Thái Học,Hoàng Hoa Thám,Phan Bội Châu,Phan Chu Trinh,D,
Chương 2,18,Lý do chính của việc Nguyễn Ái Quốc đến Pháp?,Để vận động nhân dân Pháp ủng hộ cách mạng Việt Nam,Để tìm hiểu văn minh Pháp,Vì nguồn gốc mọi đau khổ của nhân dân Việt Nam là ở tại “chính quốc”,Để học nghề,B,
Chương 2,18,Đại hội nào của Đảng khẳng định: “Tư tưởng Hồ Chí Minh không chỉ là kết quả của sự vận dụng sáng tạo mà còn phát triển sáng tạo chủ nghĩa Mác - Lênin vào điều kiện cụ thể của nước ta”?,Đại hội VII (1991),Đại hội VIII (1996),Đại hội IX (2001),Đại hội X (2006),C,
Chương 2,18,Nguyễn Tất Thành lần đầu tiên tiếp xúc với khẩu hiệu “Tự do – Bình đẳng – Bác ái” vào năm nào?,1904,1905,1908,1917,A,
Chương 2,18,"Bác Hồ về nước ngày, tháng, năm nào?",28/1/1941,28/1/1942,12/8/1942,19/12/1941,A,
Chương 2,18,Chọn phương án trả lới đúng nhất cho tư tưởng Hồ Chí Minh?,Tư tưởng Hồ Chí Minh là kết quả của sự vận dụng phát triển sáng tạo chủ nghĩa Mác - Lênin vào điều kiện thực tế của nước ta.,Tư tưởng Hồ Chí Minh là kết quả của sự vận dụng và phát triển sáng tạo chủ nghĩa Mác - Lênin vào điều kiện cụ thể của nước ta.,Tư tưởng Hồ Chí Minh là kết quả của sự phát triển sáng tạo chủ nghĩa Mác - Lênin vào điều kiện thực tế của nước ta.,Tư tưởng Hồ Chí Minh là kết quả của sự sáng tạo chủ nghĩa Mác - Lênin vào điều kiện thực tế của nước ta.,B,
